file,status,examples,failures,error_kind,duration_ms
vendor/ruby/spec/core/integer/abs_spec.rb,pass,2,0,,4
vendor/ruby/spec/core/integer/allbits_spec.rb,pass,4,0,,4
vendor/ruby/spec/core/integer/anybits_spec.rb,pass,4,0,,4
vendor/ruby/spec/core/integer/bit_and_spec.rb,pass,13,0,,3
vendor/ruby/spec/core/integer/bit_length_spec.rb,pass,4,0,,3
vendor/ruby/spec/core/integer/bit_or_spec.rb,pass,12,0,,3
vendor/ruby/spec/core/integer/bit_xor_spec.rb,pass,13,0,,4
vendor/ruby/spec/core/integer/case_compare_spec.rb,pass,6,0,,4
vendor/ruby/spec/core/integer/ceildiv_spec.rb,pass,1,0,,3
vendor/ruby/spec/core/integer/ceil_spec.rb,pass,10,0,,4
vendor/ruby/spec/core/integer/chr_spec.rb,pass,26,0,,5
vendor/ruby/spec/core/integer/coerce_spec.rb,pass,12,0,,3
vendor/ruby/spec/core/integer/comparison_spec.rb,pass,34,0,,3
vendor/ruby/spec/core/integer/complement_spec.rb,pass,2,0,,4
vendor/ruby/spec/core/integer/constants_spec.rb,pass,2,0,,3
vendor/ruby/spec/core/integer/denominator_spec.rb,pass,1,0,,3
vendor/ruby/spec/core/integer/digits_spec.rb,pass,9,0,,4
vendor/ruby/spec/core/integer/divide_spec.rb,pass,18,0,,4
vendor/ruby/spec/core/integer/divmod_spec.rb,pass,13,0,,4
vendor/ruby/spec/core/integer/div_spec.rb,pass,18,0,,3
vendor/ruby/spec/core/integer/downto_spec.rb,pass,9,0,,4
vendor/ruby/spec/core/integer/dup_spec.rb,pass,2,0,,4
vendor/ruby/spec/core/integer/element_reference_spec.rb,pass,31,0,,4
vendor/ruby/spec/core/integer/eql_spec.rb,pass,5,0,,4
vendor/ruby/spec/core/integer/equal_value_spec.rb,pass,6,0,,3
vendor/ruby/spec/core/integer/even_spec.rb,pass,6,0,,2
vendor/ruby/spec/core/integer/exponent_spec.rb,timeout,0,0,timeout,1002
vendor/ruby/spec/core/integer/fdiv_spec.rb,pass,14,0,,4
vendor/ruby/spec/core/integer/floor_spec.rb,pass,9,0,,4
vendor/ruby/spec/core/integer/gcdlcm_spec.rb,pass,10,0,,3
vendor/ruby/spec/core/integer/gcd_spec.rb,pass,12,0,,4
vendor/ruby/spec/core/integer/gte_spec.rb,pass,6,0,,4
vendor/ruby/spec/core/integer/gt_spec.rb,pass,6,0,,4
vendor/ruby/spec/core/integer/integer_spec.rb,pass,3,0,,4
vendor/ruby/spec/core/integer/lcm_spec.rb,pass,11,0,,4
vendor/ruby/spec/core/integer/left_shift_spec.rb,pass,34,0,,4
vendor/ruby/spec/core/integer/lte_spec.rb,pass,8,0,,2
vendor/ruby/spec/core/integer/lt_spec.rb,pass,6,0,,4
vendor/ruby/spec/core/integer/magnitude_spec.rb,pass,2,0,,4
vendor/ruby/spec/core/integer/minus_spec.rb,pass,7,0,,3
vendor/ruby/spec/core/integer/modulo_spec.rb,pass,16,0,,4
vendor/ruby/spec/core/integer/multiply_spec.rb,pass,5,0,,4
vendor/ruby/spec/core/integer/next_spec.rb,pass,6,0,,4
vendor/ruby/spec/core/integer/nobits_spec.rb,pass,4,0,,3
vendor/ruby/spec/core/integer/numerator_spec.rb,pass,1,0,,3
vendor/ruby/spec/core/integer/odd_spec.rb,pass,5,0,,3
vendor/ruby/spec/core/integer/ord_spec.rb,pass,1,0,,4
vendor/ruby/spec/core/integer/plus_spec.rb,pass,8,0,,4
vendor/ruby/spec/core/integer/pow_spec.rb,pass,28,0,,3
vendor/ruby/spec/core/integer/pred_spec.rb,pass,1,0,,3
vendor/ruby/spec/core/integer/rationalize_spec.rb,pass,5,0,,3
vendor/ruby/spec/core/integer/remainder_spec.rb,pass,7,0,,3
vendor/ruby/spec/core/integer/right_shift_spec.rb,pass,35,0,,3
vendor/ruby/spec/core/integer/round_spec.rb,pass,16,0,,3
vendor/ruby/spec/core/integer/size_spec.rb,pass,3,0,,3
vendor/ruby/spec/core/integer/sqrt_spec.rb,pass,6,0,,3
vendor/ruby/spec/core/integer/succ_spec.rb,pass,6,0,,3
vendor/ruby/spec/core/integer/times_spec.rb,pass,9,0,,3
vendor/ruby/spec/core/integer/to_f_spec.rb,pass,3,0,,3
vendor/ruby/spec/core/integer/to_int_spec.rb,pass,1,0,,4
vendor/ruby/spec/core/integer/to_i_spec.rb,pass,1,0,,4
vendor/ruby/spec/core/integer/to_r_spec.rb,pass,5,0,,3
vendor/ruby/spec/core/integer/to_s_spec.rb,pass,10,0,,3
vendor/ruby/spec/core/integer/truncate_spec.rb,pass,5,0,,3
vendor/ruby/spec/core/integer/try_convert_spec.rb,pass,7,0,,3
vendor/ruby/spec/core/integer/uminus_spec.rb,pass,3,0,,4
vendor/ruby/spec/core/integer/upto_spec.rb,pass,9,0,,3
vendor/ruby/spec/core/integer/zero_spec.rb,pass,2,0,,3
