file,status,examples,failures,error_kind,duration_ms
vendor/ruby/spec/core/io/advise_spec.rb,nonzero_failures,12,7,nonzero_failures,3
vendor/ruby/spec/core/io/autoclose_spec.rb,nonzero_failures,8,2,nonzero_failures,3
vendor/ruby/spec/core/io/binmode_spec.rb,nonzero_failures,7,2,nonzero_failures,3
vendor/ruby/spec/core/io/binread_spec.rb,nonzero_failures,8,2,nonzero_failures,2
vendor/ruby/spec/core/io/binwrite_spec.rb,nonzero_failures,12,2,nonzero_failures,3
vendor/ruby/spec/core/io/buffer/and_spec.rb,pass,8,0,,2
vendor/ruby/spec/core/io/buffer/empty_spec.rb,pass,13,0,,2
vendor/ruby/spec/core/io/buffer/external_spec.rb,pass,3,0,,2
vendor/ruby/spec/core/io/buffer/for_spec.rb,nonzero_failures,7,1,nonzero_failures,2
vendor/ruby/spec/core/io/buffer/free_spec.rb,pass,10,0,,2
vendor/ruby/spec/core/io/buffer/initialize_spec.rb,nonzero_failures,14,7,nonzero_failures,2
vendor/ruby/spec/core/io/buffer/internal_spec.rb,pass,3,0,,2
vendor/ruby/spec/core/io/buffer/locked_spec.rb,pass,7,0,,2
vendor/ruby/spec/core/io/buffer/map_spec.rb,nonzero_failures,22,7,nonzero_failures,2
vendor/ruby/spec/core/io/buffer/mapped_spec.rb,pass,3,0,,2
vendor/ruby/spec/core/io/buffer/not_spec.rb,pass,4,0,,3
vendor/ruby/spec/core/io/buffer/null_spec.rb,pass,13,0,,3
vendor/ruby/spec/core/io/buffer/or_spec.rb,pass,8,0,,2
vendor/ruby/spec/core/io/buffer/private_spec.rb,pass,3,0,,3
vendor/ruby/spec/core/io/buffer/readonly_spec.rb,pass,4,0,,3
vendor/ruby/spec/core/io/buffer/resize_spec.rb,nonzero_failures,16,5,nonzero_failures,2
vendor/ruby/spec/core/io/buffer/shared_spec.rb,pass,4,0,,3
vendor/ruby/spec/core/io/buffer/string_spec.rb,nonzero_failures,7,3,nonzero_failures,2
vendor/ruby/spec/core/io/buffer/transfer_spec.rb,nonzero_failures,10,1,nonzero_failures,3
vendor/ruby/spec/core/io/buffer/valid_spec.rb,pass,12,0,,3
vendor/ruby/spec/core/io/buffer/xor_spec.rb,pass,8,0,,2
vendor/ruby/spec/core/io/close_on_exec_spec.rb,nonzero_failures,9,2,nonzero_failures,3
vendor/ruby/spec/core/io/close_read_spec.rb,nonzero_failures,6,2,nonzero_failures,3
vendor/ruby/spec/core/io/close_spec.rb,nonzero_failures,11,4,nonzero_failures,3
vendor/ruby/spec/core/io/close_write_spec.rb,nonzero_failures,7,2,nonzero_failures,3
vendor/ruby/spec/core/io/closed_spec.rb,pass,2,0,,3
vendor/ruby/spec/core/io/constants_spec.rb,pass,3,0,,3
vendor/ruby/spec/core/io/copy_stream_spec.rb,nonzero_failures,62,10,nonzero_failures,3
vendor/ruby/spec/core/io/dup_spec.rb,nonzero_failures,7,1,nonzero_failures,3
vendor/ruby/spec/core/io/each_byte_spec.rb,nonzero_failures,5,1,nonzero_failures,3
vendor/ruby/spec/core/io/each_char_spec.rb,nonzero_failures,8,2,nonzero_failures,3
vendor/ruby/spec/core/io/each_codepoint_spec.rb,nonzero_failures,10,3,nonzero_failures,3
vendor/ruby/spec/core/io/each_line_spec.rb,nonzero_failures,31,6,nonzero_failures,3
vendor/ruby/spec/core/io/each_spec.rb,nonzero_failures,31,6,nonzero_failures,3
vendor/ruby/spec/core/io/eof_spec.rb,nonzero_failures,14,3,nonzero_failures,3
vendor/ruby/spec/core/io/external_encoding_spec.rb,pass,59,0,,2
vendor/ruby/spec/core/io/fcntl_spec.rb,nonzero_failures,1,1,nonzero_failures,3
vendor/ruby/spec/core/io/fdatasync_spec.rb,pass,1,0,,3
vendor/ruby/spec/core/io/fileno_spec.rb,nonzero_failures,2,1,nonzero_failures,2
vendor/ruby/spec/core/io/flush_spec.rb,nonzero_failures,2,3,nonzero_failures,2
vendor/ruby/spec/core/io/for_fd_spec.rb,nonzero_failures,57,25,nonzero_failures,3
vendor/ruby/spec/core/io/foreach_spec.rb,nonzero_failures,40,12,nonzero_failures,3
vendor/ruby/spec/core/io/fsync_spec.rb,nonzero_failures,2,1,nonzero_failures,3
vendor/ruby/spec/core/io/getbyte_spec.rb,nonzero_failures,5,2,nonzero_failures,4
vendor/ruby/spec/core/io/getc_spec.rb,nonzero_failures,4,1,nonzero_failures,3
vendor/ruby/spec/core/io/gets_spec.rb,nonzero_failures,44,6,nonzero_failures,3
