file,status,examples,failures,error_kind,duration_ms
vendor/ruby/spec/language/BEGIN_spec.rb,pass,7,0,,29
vendor/ruby/spec/language/END_spec.rb,pass,14,0,,343
vendor/ruby/spec/language/alias_spec.rb,pass,30,0,,99
vendor/ruby/spec/language/and_spec.rb,pass,10,0,,5
vendor/ruby/spec/language/array_spec.rb,pass,23,0,,4
vendor/ruby/spec/language/assignments_spec.rb,pass,38,0,,5
vendor/ruby/spec/language/block_spec.rb,nonzero_failures,165,12,nonzero_failures,7
vendor/ruby/spec/language/break_spec.rb,nonzero_failures,39,9,nonzero_failures,79
vendor/ruby/spec/language/case_spec.rb,pass,47,0,,5
vendor/ruby/spec/language/class_spec.rb,nonzero_failures,45,16,nonzero_failures,51
vendor/ruby/spec/language/class_variable_spec.rb,pass,14,0,,5
vendor/ruby/spec/language/comment_spec.rb,pass,1,0,,4
vendor/ruby/spec/language/constants_spec.rb,pass,100,0,,7
vendor/ruby/spec/language/def_spec.rb,nonzero_failures,73,17,nonzero_failures,7
vendor/ruby/spec/language/defined_spec.rb,pass,255,0,,6
vendor/ruby/spec/language/delegation_spec.rb,pass,14,0,,5
vendor/ruby/spec/language/encoding_spec.rb,pass,6,0,,4
vendor/ruby/spec/language/end_repro_tmp_spec.rb,pass,1,0,,36
vendor/ruby/spec/language/ensure_spec.rb,pass,31,0,,5
vendor/ruby/spec/language/execution_spec.rb,pass,4,0,,4
vendor/ruby/spec/language/file_spec.rb,pass,6,0,,4
vendor/ruby/spec/language/for_spec.rb,pass,43,0,,5
vendor/ruby/spec/language/hash_spec.rb,nonzero_failures,38,4,nonzero_failures,6
vendor/ruby/spec/language/heredoc_spec.rb,pass,16,0,,4
vendor/ruby/spec/language/if_spec.rb,pass,52,0,,4
vendor/ruby/spec/language/it_parameter_spec.rb,nonzero_failures,26,12,nonzero_failures,5
vendor/ruby/spec/language/keyword_arguments_spec.rb,nonzero_failures,23,6,nonzero_failures,4
vendor/ruby/spec/language/lambda_spec.rb,nonzero_failures,68,14,nonzero_failures,7
vendor/ruby/spec/language/line_spec.rb,pass,6,0,,4
vendor/ruby/spec/language/loop_spec.rb,pass,7,0,,5
