# name version sha256(.gem)
aasm 6.0.0 c96ce60ea9574eb194e33f29d801be430b8cade2f31c8a5d137a9870ee39d404
actionpack 8.1.2 ced74147a1f0daafaa4bab7f677513fd4d3add574c7839958f7b4f1de44f8423
activejob 8.1.2 908dab3713b101859536375819f4156b07bdf4c232cc645e7538adb9e302f825
activemodel 8.1.2 e21358c11ce68aed3f9838b7e464977bc007b4446c6e4059781e1d5c03bcf33e
activerecord 8.1.2 acfbe0cadfcc50fa208011fe6f4eb01cae682ebae0ef57145ba45380c74bcc44
activerecord-import 2.2.0 f8ca99b196e50775723d1f1d192c379f656378dc9f5628240992a0d78807fa4b
activesupport 8.1.2 88842578ccd0d40f658289b0e8c842acfe9af751afee2e0744a7873f50b6fdae
actionview 8.1.2 80455b2588911c9b72cec22d240edacb7c150e800ef2234821269b2b2c3e2e5b
addressable 2.9.0 7fdf6ac3660f7f4e867a0838be3f6cf722ace541dd97767fa42bc6cfa980c7af
audited 5.8.0 35cd63f9ee1eb2a1f773e7abf5915bb4e870b6338173e27c31e0e604e353f371
aws-eventstream 1.4.0 116bf85c436200d1060811e6f5d2d40c88f65448f2125bc77ffce5121e6e183b
aws-partitions 1.1275.0 8de74375cde5cd54b8f850be7afd834cdc28d08c7c5e348d17496489208fbda9
aws-sdk-core 3.254.0 ee3e3220b8468a3c9e59daba18e6ec897bf5c7ce8adcc0670cfa2f1f092112fe
aws-sigv4 1.12.1 6973ff95cb0fd0dc58ba26e90e9510a2219525d07620c8babeb70ef831826c00
base64 0.3.0 27337aeabad6ffae05c265c450490628ef3ebd4b67be58257393227588f5a97b
bcrypt 3.1.22 1f0072e88c2d705d94aff7f2c5cb02eb3f1ec4b8368671e19112527489f29032
benchmark-ips 2.15.1 07a1a9f3c6105ecaf68c174fc3fbcddd71a0e9ada6236ae03093a0dcfd812d59
bigdecimal 3.3.1 eaa01e228be54c4f9f53bf3cc34fe3d5e845c31963e7fcc5bedb05a4e7d52218
blueprinter 1.3.0 a89b68d97b8d7157e4657750c17aa1ab9f04af58a68b89257d127f973cf8720c
builder 3.3.0 497918d2f9dca528fdca4b88d84e4ef4387256d984b8154e9d5d3fe5a9c8835f
cancancan 3.6.1 975c1d5cbf58d5df48a9452a7f61ae3d254608cd87570402f5925a8864c56b62
coderay 1.1.3 dc530018a4684512f8f38143cd2a096c9f02a1fc2459edcfe534787a7fc77d4b
concurrent-ruby 1.3.7 4412caec3a5ea2e5fdc52076724c071a81f2c0593d83b2ac8cbb8ca63b3151b0
connection_pool 2.5.4 e9e1922327416091f3f6542f5f4446c2a20745276b9aa796dd0bb2fd0ea1e70a
counter_culture 3.14.0 386f10ba78837123443597212284f166a498abf36af4b6e85e2f280b908760f3
